Respondent_ID,Major,Past_courses,Programming_courses_in_past_?,Comfort_level_Python,OH_mode_preferred,Time_first_OH,Time_second_OH,Average_GPA,CanvasDiscussion_or_MSTeams,Concern
43,Marketing,"CS 105

BADM 210",TRUE,2,on zoom.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.5,Canvas Discussion,Thank you for creating this survey! Have a nice day!
44,Finance,I have taken a class called CS 105 which is similar to this.,TRUE,3,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.1,Canvas Discussion,no
45,Finance,"I took AP Statistics in high school. I am also pursuing a dual degree in Statistics so I have taken STAT 200, STAT 400, and am currently taking STAT 410. ",TRUE,3,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.8,Canvas Discussion,Looking forward to the class! :)
46,Accountancy,BADM 210 and CS 105,FALSE,1,on zoom.,Thursday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.4,MS Teams,No concerns other than no prior knowledge in python
47,Finance,I've taken Stat 100 here at U of I. Although I didn't take CS 105 here I earned the equivalent at Parkland College.  ,FALSE,1,in person.,Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.8,Canvas Discussion,"I'm excited but also nervous for this course. I wouldn't say that programming or data science sparks my interest. However, I hope that my thinking changes throughout the semester.  "
48,Finance,"BADM 210

CS 101",TRUE,1,in person.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.4,MS Teams,No present concerns - although I am both worried and excited to learn more in this course!
49,Finance,"Stat 100, CS105, Badm 210",TRUE,3,in person.,Thursday 5:30pm - 7:30 pm,Friday 12pm-2pm,3,MS Teams,none
50,Accountancy,CS 105 and BADM 210,TRUE,3,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 12pm-2pm,4,Canvas Discussion,"Nope, all good here."
51,Marketing,"AP stats in high school, BADM 210, CS 105",TRUE,2,"in person.,on zoom.",Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,3,Canvas Discussion,No other questions.
52,Finance,"I took AP Stats in high school, BADM 210, CS 105",TRUE,2,"in person.,on zoom.",Thursday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.8,Canvas Discussion,Nope :)
53,Accountancy,"Cs 105, BADM 210, and College Stats",TRUE,2,"in person.,on zoom.",Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.3,Canvas Discussion,N/A
54,Marketing,"In High School I took and really enjoyed AP Statistics. Here at UIUC, I've taken STAT100, CS105, and BADM210, which I also really enjoyed them all as well.",TRUE,3,on zoom.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.7,MS Teams,Nope! Can't wait to get started:)
55,Information Systems,"Badm 210, badm 350, cs 105, economic stats 1",TRUE,2,on zoom.,Thursday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.2,Canvas Discussion,n/a
56,Finance,CS105 and BADM210,TRUE,4,in person.,Wednesday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.6,Canvas Discussion,no
57,Finance,"AP Computer Science

AP Stats

BADM 211

 ",FALSE,3,on zoom.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.4,Canvas Discussion,
58,Finance,"BADM 210, CS 105, AP Computer Science ",TRUE,3,on zoom.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.1,Canvas Discussion,
59,Finance,"High School:

• AP Stats

• AP CS

College:

• CS 105

• BADM210 

• BADM350

• BADM352 ",TRUE,4,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.7,MS Teams,
60,Finance,"Calculus

CS 105

BADM 210",TRUE,2,on zoom.,Thursday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.9,Canvas Discussion,n/a
61,Finance,I took a statistics course as well as a computer information systems course that focused primarily on python at College of DuPage. ,TRUE,2,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,4,Canvas Discussion,There is nothing else I would like to share. 
62,Management,CS 105,FALSE,2,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.1,Canvas Discussion,"All good, thank you. "
63,Accountancy,"STAT 100

BADM 210

CS 105",TRUE,2,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,4,Canvas Discussion,Have a great day!
64,Finance,"CS 105, badm 210",TRUE,3,on zoom.,Thursday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.5,Canvas Discussion,I am interested in growing my Python skills from CS 105 so I am glad to be in this course
65,Finance,"Stat 100, CS 105, BADM 210",TRUE,2,in person.,Wednesday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.4,MS Teams,None.
66,Accountancy,"AP CS A in high school

AP Statistics in high school

BADM 210

CS 101 

STAT 100",TRUE,2,"in person.,on zoom.",Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.2,Canvas Discussion,nope!
67,Finance,"I took a stats class in high school, CS 105, BADM 210, and took up to calculus 3 in math. ",TRUE,2,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.3,Canvas Discussion,Nothing
68,Accountancy,"CS 105, BADM 210, BADM 350, BADM 352",TRUE,2,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.9,Canvas Discussion,Nope
69,Finance,"STAT 100

BADM 210

CS 105",TRUE,2,"in person.,on zoom.",Wednesday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.2,Canvas Discussion,N/A
70,Accountancy,"AP STATS, BADM210",TRUE,3,on zoom.,Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.3,Canvas Discussion,
71,Marketing,cs105,TRUE,1,in person.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.6,Canvas Discussion,"n/a

 "
72,Finance,"I've taken BADM 210, CS 105, and CS 124.",TRUE,5,in person.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.6,MS Teams,N/A
73,Finance,None really,TRUE,4,in person.,Thursday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.2,Canvas Discussion,Nope
74,Accountancy,BADM210 and STAT100,TRUE,3,in person.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.1,Canvas Discussion,No
75,Information Systems,"Stats 100

CS 105 

An intro computer science class in high school

BADM 210- Business Analytics ",TRUE,3,"in person.,on zoom.",Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3,Canvas Discussion,None at the moment. 
76,Finance,"stat100, cs105, badm210",TRUE,3,"in person.,on zoom.",Wednesday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.7,Canvas Discussion,
77,Accountancy,"Stat 100 UIUC 

Badm 210 UIUC

CS 105 parkland college",FALSE,2,"in person.,on zoom.",Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.3,Canvas Discussion,Thank you. 
78,Accountancy,"BADM 210, CS 105",TRUE,2,in person.,Thursday 5:30pm - 7:30 pm,Friday 2pm-4pm,3.9,MS Teams,N/A 
79,Finance,STAT 100 and AP Computer Science Principles. I'm not strong with my programming.,TRUE,2,"in person.,on zoom.",Thursday 5:30pm - 7:30 pm,Friday 12pm-2pm,3.7,Canvas Discussion,N/A
