IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,Adults,Children,Country,IsRepeatedGuest,ReservedRoomType,CustomerType,ADR,ticker,hotel,book_id,ArrivalDate
0,15,2015,Nov,45,6,2,0,ZWE,0,A               ,Transient,26.1,5,Resort,RTransient2015November6-5,11/6/2015
1,18,2015,Nov,45,7,2,1,PRT,0,A               ,Transient,32.62,3,Resort,RTransient2015November7-3,11/7/2015
0,0,2015,Nov,46,8,2,0,ESP,0,F               ,Transient,74,5,Resort,RTransient2015November8-5,11/8/2015
1,40,2015,Nov,46,11,1,0,PRT,0,A               ,Transient-Party,36,5,Resort,RTransient-Party2015November11-5,11/11/2015
1,37,2015,Nov,46,11,2,0,PRT,0,A               ,Contract,48,1,Resort,RContract2015November11-1,11/11/2015
0,105,2015,Nov,47,18,2,0,PRT,0,A               ,Transient-Party,71,13,Resort,RTransient-Party2015November18-13,11/18/2015
0,36,2015,Nov,47,20,2,0,ESP,0,A               ,Transient-Party,64,1,Resort,RTransient-Party2015November20-1,11/20/2015
0,78,2015,Nov,47,21,2,0,PRT,0,A               ,Transient-Party,32,18,Resort,RTransient-Party2015November21-18,11/21/2015
0,48,2015,Dec,49,3,2,0,GBR,0,D               ,Transient,33.3,5,Resort,RTransient2015December3-5,12/3/2015
1,121,2015,Dec,49,4,2,0,PRT,0,E               ,Transient,50.4,1,Resort,RTransient2015December4-1,12/4/2015
0,130,2015,Dec,49,4,2,0,GBR,0,A               ,Contract,35.7,1,Resort,RContract2015December4-1,12/4/2015
1,44,2015,Dec,49,5,2,0,PRT,0,A               ,Transient-Party,70,59,Resort,RTransient-Party2015December5-59,12/5/2015
1,260,2015,Dec,52,20,1,0,PRT,0,D               ,Transient,47.54,7,Resort,RTransient2015December20-7,12/20/2015
0,48,2015,Dec,52,20,2,0,PRT,0,A               ,Transient,48,8,Resort,RTransient2015December20-8,12/20/2015
1,94,2015,Dec,52,21,2,2,PRT,0,C               ,Transient,38.81,10,Resort,RTransient2015December21-10,12/21/2015
0,83,2015,Dec,52,23,1,0,PRT,0,A               ,Transient,43.57,1,Resort,RTransient2015December23-1,12/23/2015
0,119,2015,Dec,52,23,2,0,ITA,0,E               ,Transient,85.2,2,Resort,RTransient2015December23-2,12/23/2015
0,59,2015,Dec,52,24,2,0,PRT,0,D               ,Transient-Party,51,3,Resort,RTransient-Party2015December24-3,12/24/2015
1,83,2015,Dec,53,27,2,0,PRT,0,E               ,Transient,71.28,5,Resort,RTransient2015December27-5,12/27/2015
0,53,2015,Dec,53,28,2,0,FRA,0,E               ,Transient,81.9,15,Resort,RTransient2015December28-15,12/28/2015
0,165,2015,Dec,53,30,1,0,PRT,0,A               ,Transient-Party,0,49,Resort,RTransient-Party2015December30-49,12/30/2015
0,69,2015,Dec,53,31,2,0,PRT,0,D               ,Transient,160.98,20,Resort,RTransient2015December31-20,12/31/2015
1,4,2016,Jan,5,26,1,0,PRT,0,A               ,Transient,38,2,Resort,RTransient2016January26-2,1/26/2016
1,83,2016,Feb,6,4,2,2,PRT,0,G               ,Transient,98,5,Resort,RTransient2016February4-5,2/4/2016
1,72,2016,Feb,6,6,2,0,PRT,0,D               ,Transient-Party,73.33,17,Resort,RTransient-Party2016February6-17,2/6/2016
0,103,2016,Feb,7,9,2,0,FRA,0,A               ,Transient-Party,50,13,Resort,RTransient-Party2016February9-13,2/9/2016
1,64,2016,Feb,7,11,1,0,PRT,0,A               ,Transient,25,8,Resort,RTransient2016February11-8,2/11/2016
0,230,2016,Feb,7,11,2,0,GBR,0,E               ,Transient,46.8,17,Resort,RTransient2016February11-17,2/11/2016
1,140,2016,Feb,7,12,2,0,PRT,0,A               ,Transient,50,5,Resort,RTransient2016February12-5,2/12/2016
1,112,2016,Feb,7,12,2,0,PRT,0,A               ,Transient-Party,68,11,Resort,RTransient-Party2016February12-11,2/12/2016
0,112,2016,Feb,7,12,2,0,ESP,0,A               ,Transient-Party,70,32,Resort,RTransient-Party2016February12-32,2/12/2016
1,140,2016,Feb,7,12,2,0,PRT,0,A               ,Transient,50,58,Resort,RTransient2016February12-58,2/12/2016
1,140,2016,Feb,7,12,2,0,PRT,0,A               ,Transient,50,59,Resort,RTransient2016February12-59,2/12/2016
1,0,2016,Feb,7,13,2,1,PRT,0,G               ,Transient,107,3,Resort,RTransient2016February13-3,2/13/2016
1,44,2016,Feb,8,17,2,0,PRT,0,A               ,Transient,48,4,Resort,RTransient2016February17-4,2/17/2016
0,100,2016,Feb,8,20,2,0,IRL,0,D               ,Transient,38.32,6,Resort,RTransient2016February20-6,2/20/2016
0,108,2016,Feb,8,20,2,0,GBR,0,E               ,Transient-Party,63.9,2,Resort,RTransient-Party2016February20-2,2/20/2016
1,74,2016,Feb,9,26,2,0,PRT,0,A               ,Transient,70,24,Resort,RTransient2016February26-24,2/26/2016
0,123,2016,Feb,9,27,2,0,ESP,0,A               ,Transient-Party,64,12,Resort,RTransient-Party2016February27-12,2/27/2016
1,42,2016,Feb,9,27,2,0,PRT,0,A               ,Transient,48,6,Resort,RTransient2016February27-6,2/27/2016
0,123,2016,Feb,9,27,2,0,ESP,0,A               ,Transient-Party,64,19,Resort,RTransient-Party2016February27-19,2/27/2016
0,123,2016,Feb,9,27,2,0,ESP,0,A               ,Transient-Party,64,21,Resort,RTransient-Party2016February27-21,2/27/2016
1,19,2016,Feb,10,28,2,0,PRT,0,A               ,Transient,48,6,Resort,RTransient2016February28-6,2/28/2016
1,144,2016,Mar,10,1,1,0,PRT,0,A               ,Transient,70,2,Resort,RTransient2016March1-2,3/1/2016
1,2,2016,Mar,10,4,2,0,PRT,0,F               ,Transient,75,1,Resort,RTransient2016March4-1,3/4/2016
1,49,2016,Mar,10,5,2,0,PRT,0,E               ,Transient-Party,81,9,Resort,RTransient-Party2016March5-9,3/5/2016
1,228,2016,Mar,11,11,2,0,PRT,0,D               ,Transient,39.1,6,Resort,RTransient2016March11-6,3/11/2016
1,19,2016,Mar,13,20,2,0,PRT,0,A               ,Transient,29,7,Resort,RTransient2016March20-7,3/20/2016
1,136,2016,Mar,13,24,2,0,PRT,0,A               ,Transient-Party,38,53,Resort,RTransient-Party2016March24-53,3/24/2016
0,192,2016,Mar,13,25,2,0,PRT,0,A               ,Transient,50.4,4,Resort,RTransient2016March25-4,3/25/2016
1,38,2016,Mar,14,28,2,0,PRT,0,A               ,Transient,48,6,Resort,RTransient2016March28-6,3/28/2016
1,147,2016,Mar,14,28,2,0,PRT,0,E               ,Transient-Party,73,11,Resort,RTransient-Party2016March28-11,3/28/2016
0,169,2016,Mar,14,31,2,0,PRT,0,A               ,Transient-Party,66,10,Resort,RTransient-Party2016March31-10,3/31/2016
1,212,2016,Apr,16,11,2,0,PRT,0,D               ,Transient,76.05,6,Resort,RTransient2016April11-6,4/11/2016
0,183,2016,Apr,16,16,1,0,DEU,0,A               ,Transient-Party,54.5,13,Resort,RTransient-Party2016April16-13,4/16/2016
0,185,2016,Apr,17,18,2,0,DEU,0,A               ,Transient-Party,85,39,Resort,RTransient-Party2016April18-39,4/18/2016
1,83,2016,Apr,17,22,2,0,PRT,0,A               ,Transient,46,8,Resort,RTransient2016April22-8,4/22/2016
1,83,2016,Apr,17,22,2,0,PRT,0,D               ,Transient,58,18,Resort,RTransient2016April22-18,4/22/2016
1,98,2016,Apr,17,23,2,0,PRT,0,D               ,Transient,73,10,Resort,RTransient2016April23-10,4/23/2016
1,80,2016,Apr,17,23,1,0,PRT,0,A               ,Transient,54,17,Resort,RTransient2016April23-17,4/23/2016
0,189,2016,Apr,18,26,1,0,FRA,0,A               ,Transient-Party,30,14,Resort,RTransient-Party2016April26-14,4/26/2016
1,12,2016,Apr,18,27,2,0,PRT,0,A               ,Transient-Party,72,5,Resort,RTransient-Party2016April27-5,4/27/2016
1,15,2016,Apr,18,28,2,0,PRT,0,A               ,Transient,65,2,Resort,RTransient2016April28-2,4/28/2016
1,101,2016,Apr,18,29,2,0,PRT,0,A               ,Transient-Party,47,3,Resort,RTransient-Party2016April29-3,4/29/2016
1,87,2016,Apr,18,29,2,0,PRT,0,A               ,Transient,46,53,Resort,RTransient2016April29-53,4/29/2016
0,197,2016,Apr,18,30,2,0,DEU,0,A               ,Transient-Party,85,11,Resort,RTransient-Party2016April30-11,4/30/2016
1,32,2016,Apr,18,30,2,0,NLD,0,E               ,Transient,93.57,19,Resort,RTransient2016April30-19,4/30/2016
0,199,2016,May,19,2,2,0,DEU,0,A               ,Transient-Party,85,5,Resort,RTransient-Party2016May2-5,5/2/2016
0,288,2016,May,19,3,2,0,GBR,0,E               ,Contract,55.83,1,Resort,RContract2016May3-1,5/3/2016
1,12,2016,May,19,4,1,0,PRT,0,A               ,Transient,65.6,2,Resort,RTransient2016May4-2,5/4/2016
0,209,2016,May,19,5,2,0,IRL,0,A               ,Transient,48.98,8,Resort,RTransient2016May5-8,5/5/2016
1,174,2016,May,19,6,2,0,PRT,0,D               ,Transient,65.7,11,Resort,RTransient2016May6-11,5/6/2016
0,235,2016,May,20,9,2,0,IRL,0,D               ,Transient,65.7,7,Resort,RTransient2016May9-7,5/9/2016
1,234,2016,May,20,9,2,0,PRT,0,A               ,Transient,88,10,Resort,RTransient2016May9-10,5/9/2016
0,203,2016,May,20,10,2,0,FRA,0,A               ,Transient-Party,46,1,Resort,RTransient-Party2016May10-1,5/10/2016
0,236,2016,May,20,12,2,0,GBR,0,A               ,Transient-Party,58,12,Resort,RTransient-Party2016May12-12,5/12/2016
1,25,2016,May,20,12,2,2,NOR,0,G               ,Transient,135,5,Resort,RTransient2016May12-5,5/12/2016
1,9,2016,May,21,15,2,0,PRT,0,A               ,Transient-Party,70,30,Resort,RTransient-Party2016May15-30,5/15/2016
1,151,2016,May,21,17,2,0,PRT,0,A               ,Transient,46,6,Resort,RTransient2016May17-6,5/17/2016
1,151,2016,May,21,17,2,0,PRT,0,A               ,Transient,46,10,Resort,RTransient2016May17-10,5/17/2016
1,40,2016,May,21,18,1,0,PRT,0,A               ,Transient,55,20,Resort,RTransient2016May18-20,5/18/2016
1,78,2016,May,21,21,2,0,PRT,0,D               ,Transient,80,6,Resort,RTransient2016May21-6,5/21/2016
1,123,2016,May,21,21,2,0,PRT,0,A               ,Transient-Party,88,1,Resort,RTransient-Party2016May21-1,5/21/2016
0,223,2016,May,22,24,2,0,GBR,0,A               ,Transient-Party,66,11,Resort,RTransient-Party2016May24-11,5/24/2016
1,228,2016,May,22,25,2,0,PRT,0,A               ,Transient,52.2,10,Resort,RTransient2016May25-10,5/25/2016
0,225,2016,May,22,26,1,0,GBR,0,A               ,Transient-Party,60,22,Resort,RTransient-Party2016May26-22,5/26/2016
0,225,2016,May,22,26,1,0,GBR,0,A               ,Transient-Party,60,36,Resort,RTransient-Party2016May26-36,5/26/2016
1,100,2016,May,22,27,2,0,PRT,0,A               ,Transient,58,3,Resort,RTransient2016May27-3,5/27/2016
1,7,2016,May,22,27,1,0,PRT,0,A               ,Transient,58,6,Resort,RTransient2016May27-6,5/27/2016
0,225,2016,May,22,28,2,0,DEU,0,A               ,Transient-Party,85,23,Resort,RTransient-Party2016May28-23,5/28/2016
1,5,2016,May,23,29,2,0,PRT,0,E               ,Transient,99,1,Resort,RTransient2016May29-1,5/29/2016
1,76,2016,May,23,31,2,0,BRA,0,A               ,Transient,77,1,Resort,RTransient2016May31-1,5/31/2016
1,102,2016,May,23,31,2,0,PRT,0,A               ,Transient,80,4,Resort,RTransient2016May31-4,5/31/2016
1,215,2016,Jun,23,1,2,0,PRT,0,A               ,Transient,110,11,Resort,RTransient2016June1-11,6/1/2016
0,208,2016,Jun,23,1,2,0,GBR,0,D               ,Transient,64.9,22,Resort,RTransient2016June1-22,6/1/2016
1,182,2016,Jun,23,3,2,0,PRT,0,A               ,Transient,97.3,5,Resort,RTransient2016June3-5,6/3/2016
1,130,2016,Jun,23,4,2,2,PRT,0,G               ,Transient,138.71,7,Resort,RTransient2016June4-7,6/4/2016
1,286,2016,Jun,24,9,2,0,PRT,0,A               ,Transient,110,4,Resort,RTransient2016June9-4,6/9/2016
1,151,2016,Jun,24,10,2,0,PRT,0,E               ,Transient,99,4,Resort,RTransient2016June10-4,6/10/2016
1,50,2016,Jun,25,13,2,0,PRT,0,A               ,Transient,129,14,Resort,RTransient2016June13-14,6/13/2016
1,110,2016,Jun,25,14,2,0,PRT,0,E               ,Transient,89.1,6,Resort,RTransient2016June14-6,6/14/2016
1,37,2016,Jun,25,17,2,0,ESP,0,A               ,Transient,161,2,Resort,RTransient2016June17-2,6/17/2016
1,163,2016,Jun,26,19,2,0,PRT,0,A               ,Transient,72,5,Resort,RTransient2016June19-5,6/19/2016
1,128,2016,Jun,26,19,2,0,PRT,0,A               ,Transient,115.75,7,Resort,RTransient2016June19-7,6/19/2016
1,226,2016,Jun,26,25,2,0,PRT,0,G               ,Transient,118.15,14,Resort,RTransient2016June25-14,6/25/2016
0,241,2016,Jun,26,25,3,1,SWE,0,H               ,Transient,150.71,18,Resort,RTransient2016June25-18,6/25/2016
1,2,2016,Jun,27,30,2,0,PRT,0,E               ,Transient,159,1,Resort,RTransient2016June30-1,6/30/2016
1,120,2016,Jul,28,9,2,0,IRL,0,D               ,Transient,160.71,11,Resort,RTransient2016July9-11,7/9/2016
1,127,2016,Jul,28,9,2,0,PRT,0,A               ,Transient,159.5,12,Resort,RTransient2016July9-12,7/9/2016
1,90,2016,Jul,29,13,2,0,ESP,0,D               ,Transient,175,2,Resort,RTransient2016July13-2,7/13/2016
1,155,2016,Jul,29,16,2,0,PRT,0,A               ,Transient,150.8,16,Resort,RTransient2016July16-16,7/16/2016
1,164,2016,Jul,29,16,2,0,PRT,0,E               ,Transient,165,30,Resort,RTransient2016July16-30,7/16/2016
1,99,2016,Jul,30,18,2,0,ESP,0,D               ,Transient,180,10,Resort,RTransient2016July18-10,7/18/2016
1,119,2016,Jul,30,19,2,0,ESP,0,E               ,Transient,227,8,Resort,RTransient2016July19-8,7/19/2016
1,29,2016,Jul,30,20,2,0,PRT,0,A               ,Transient,143.2,7,Resort,RTransient2016July20-7,7/20/2016
1,28,2016,Jul,30,20,2,0,PRT,0,E               ,Transient,167.2,8,Resort,RTransient2016July20-8,7/20/2016
1,140,2016,Jul,31,24,2,0,FRA,0,E               ,Transient,207,6,Resort,RTransient2016July24-6,7/24/2016
1,192,2016,Jul,31,30,2,0,PRT,0,E               ,Transient,205,9,Resort,RTransient2016July30-9,7/30/2016
1,180,2016,Aug,32,1,2,0,PRT,0,A               ,Transient-Party,165,1,Resort,RTransient-Party2016August1-1,8/1/2016
1,152,2016,Aug,32,1,2,2,PRT,0,C               ,Transient,212.14,21,Resort,RTransient2016August1-21,8/1/2016
1,274,2016,Aug,32,2,2,0,PRT,0,A               ,Transient,126,11,Resort,RTransient2016August2-11,8/2/2016
1,58,2016,Aug,32,3,2,0,ESP,0,A               ,Transient,189,2,Resort,RTransient2016August3-2,8/3/2016
1,23,2016,Aug,32,4,2,1,PRT,0,A               ,Transient,272.7,3,Resort,RTransient2016August4-3,8/4/2016
1,349,2016,Aug,32,4,2,0,PRT,0,A               ,Transient,125.4,6,Resort,RTransient2016August4-6,8/4/2016
1,145,2016,Aug,32,5,2,2,PRT,0,G               ,Transient,259,4,Resort,RTransient2016August5-4,8/5/2016
1,155,2016,Aug,33,10,2,0,GBR,0,E               ,Transient,240,9,Resort,RTransient2016August10-9,8/10/2016
1,129,2016,Aug,33,12,2,0,ESP,0,A               ,Transient,189,10,Resort,RTransient2016August12-10,8/12/2016
1,90,2016,Aug,34,15,2,0,ITA,0,D               ,Transient,231,18,Resort,RTransient2016August15-18,8/15/2016
1,24,2016,Aug,34,17,2,0,ESP,0,A               ,Transient,219,10,Resort,RTransient2016August17-10,8/17/2016
1,3,2016,Aug,34,18,2,0,PRT,0,E               ,Transient,214,1,Resort,RTransient2016August18-1,8/18/2016
1,165,2016,Aug,34,18,2,0,DEU,0,E               ,Transient,237,12,Resort,RTransient2016August18-12,8/18/2016
1,165,2016,Aug,34,18,3,0,DEU,0,E               ,Transient,288,15,Resort,RTransient2016August18-15,8/18/2016
1,131,2016,Aug,34,20,2,0,PRT,0,A               ,Transient,143.2,19,Resort,RTransient2016August20-19,8/20/2016
1,129,2016,Aug,35,23,2,0,IRL,0,A               ,Transient,170.56,11,Resort,RTransient2016August23-11,8/23/2016
1,90,2016,Aug,35,24,2,2,DEU,0,C               ,Transient,195,13,Resort,RTransient2016August24-13,8/24/2016
1,0,2016,Aug,35,25,2,0,ROU,0,D               ,Transient,194,1,Resort,RTransient2016August25-1,8/25/2016
1,81,2016,Aug,35,26,2,0,BLR,0,A               ,Transient,206.71,23,Resort,RTransient2016August26-23,8/26/2016
1,123,2016,Aug,36,28,2,0,USA,0,E               ,Transient,189.8,10,Resort,RTransient2016August28-10,8/28/2016
0,314,2016,Aug,36,29,2,0,GBR,0,A               ,Transient,68.61,18,Resort,RTransient2016August29-18,8/29/2016
0,406,2016,Aug,36,29,2,0,GBR,0,E               ,Contract,85.88,2,Resort,RContract2016August29-2,8/29/2016
1,116,2016,Sep,37,5,2,2,BRA,0,G               ,Transient,199,2,Resort,RTransient2016September5-2,9/5/2016
