ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,cluster
9949,1976,Graduation,Married,59809,0,36,3,3,3,6,8,1
10837,1975,Graduation,Married,23957,1,47,1,2,0,3,6,2
3120,1981,Graduation,Together,38547,1,49,1,1,0,2,8,2
5885,1973,2n Cycle,Married,35688,2,94,7,4,1,4,8,1
4050,1966,Master,Married,49605,0,65,1,2,1,4,3,2
3830,1953,Master,Married,59354,0,59,1,4,4,7,3,0
7987,1969,Graduation,Married,65747,0,96,4,8,1,6,6,1
7798,1972,2n Cycle,Together,46344,0,28,4,7,1,5,7,1
92,1988,Graduation,Alone,34176,1,12,4,3,0,4,6,2
7055,1952,PhD,Together,61010,0,57,2,8,5,11,5,0
10240,1949,Graduation,Together,69372,0,10,1,10,4,6,4,0
3025,1958,Graduation,Single,49967,0,4,3,6,1,5,7,1
9283,1978,Graduation,Single,60199,1,49,1,0,0,3,4,2
9970,1977,Graduation,Together,55375,0,3,1,1,1,6,2,2
2730,1955,Graduation,Single,80317,0,64,1,3,4,10,1,0
2795,1958,Master,Single,30523,2,0,1,1,0,2,7,2
9260,1945,PhD,Married,70356,0,20,2,10,6,9,6,1
8182,1984,Graduation,Married,23228,1,91,4,3,0,4,8,2
10095,1975,PhD,Divorced,74165,0,9,1,5,4,10,2,0
8475,1973,PhD,Married,157243,0,98,15,0,22,0,0,0
4370,1966,Graduation,Together,43482,2,83,3,2,0,4,6,2
10573,1953,Graduation,Divorced,62551,0,27,1,6,7,4,3,0
3712,1959,Graduation,Divorced,52332,0,63,1,3,2,6,4,2
6637,1988,Graduation,Single,66951,0,46,1,3,4,7,1,0
3152,1957,Graduation,Together,26091,1,84,3,2,1,3,5,2
5610,1965,Graduation,Together,33456,1,58,2,1,0,3,7,2
6460,1982,Graduation,Married,28718,1,78,2,2,0,3,8,2
1349,1970,Graduation,Married,50447,2,4,1,3,1,3,6,2
1880,1959,PhD,Together,53537,1,17,2,2,1,3,5,2
641,1967,Graduation,Single,52074,0,77,1,2,2,2,4,2
8717,1975,PhD,Married,80427,0,56,1,11,8,8,5,0
10314,1948,PhD,Married,83837,0,79,1,9,10,5,4,0
10854,1970,PhD,Married,38853,1,90,2,2,0,3,7,2
10492,1959,Graduation,Together,38285,2,96,1,0,0,3,2,2
6935,1951,2n Cycle,Married,78497,0,44,1,5,7,12,2,0
7698,1976,PhD,Married,51650,0,81,1,4,1,4,5,2
3559,1988,2n Cycle,Married,16248,1,77,3,2,1,3,6,2
10562,1946,Master,Married,66835,0,21,1,6,4,13,2,0
10796,1984,Master,Married,30477,1,16,1,1,1,3,6,2
2563,1961,Basic,Married,28249,0,80,1,2,0,3,6,2
3518,1983,Graduation,Married,25271,1,45,1,1,1,2,9,2
5823,1970,PhD,Single,32303,0,63,2,1,0,4,5,2
3934,1966,Graduation,Married,61286,0,34,2,7,1,8,5,1
6982,1976,Graduation,Married,74068,0,14,1,4,10,9,2,0
6431,1964,PhD,Married,45759,1,13,2,2,0,3,7,2
9733,1978,Basic,Together,24882,1,52,1,1,1,2,6,2
5602,1989,PhD,Together,66973,0,98,1,8,7,12,3,0
7829,1900,2n Cycle,Divorced,36640,1,99,1,2,1,2,5,2
1324,1988,Graduation,Married,38872,1,93,2,3,0,3,8,2
326,1973,Graduation,Married,51148,1,38,4,5,1,6,6,1
7224,1977,Graduation,Married,31353,1,24,2,1,1,2,8,2
6999,1980,Master,Married,69661,0,80,1,7,3,12,3,0
9938,1954,Graduation,Married,80067,0,82,1,4,6,6,2,0
6422,1954,Graduation,Married,86718,0,20,1,5,6,5,2,0
3182,1973,PhD,Single,46854,1,81,6,5,1,3,8,1
7300,1952,Graduation,Divorced,69142,0,50,3,8,1,7,5,1
10424,1968,Graduation,Single,75922,0,60,1,4,4,9,1,0
8727,1978,Graduation,Divorced,63693,0,63,3,11,6,9,6,1
2798,1977,PhD,Together,102160,0,54,0,7,9,10,4,0
1030,1965,PhD,Single,40637,1,72,2,1,0,3,7,2
624,1984,Master,Single,18890,0,5,1,0,1,2,6,2
5176,1988,Graduation,Together,29604,1,88,1,1,0,3,9,2
5552,1963,Master,Divorced,48721,1,50,6,4,2,5,6,1
868,1966,Graduation,Married,44794,0,99,1,2,0,3,6,2
380,1954,Graduation,Divorced,64497,0,17,5,11,4,9,8,1
2677,1956,Graduation,Together,46097,0,11,5,3,1,6,4,1
6521,1954,Graduation,Together,77972,0,18,1,4,6,9,1,0
6927,1968,PhD,Married,44377,1,70,8,5,1,5,8,1
2877,1974,Master,Together,46014,1,21,10,7,1,8,7,1
0,1985,Graduation,Married,70951,0,66,1,3,4,9,1,0
1584,1977,Graduation,Married,41443,1,79,6,8,1,5,8,1
7264,1978,2n Cycle,Single,52195,2,2,1,1,0,2,8,2
6274,1948,Master,Married,83790,0,81,1,8,10,6,3,0
1377,1954,Master,Widow,44551,0,24,2,4,1,5,7,2
454,1980,Graduation,Together,69508,1,48,2,11,4,11,6,1
1755,1988,2n Cycle,Together,45204,1,93,1,1,1,4,3,2
2075,1969,Graduation,Married,72460,0,56,1,3,5,7,1,0
4785,1970,PhD,Together,77622,0,3,2,6,3,11,3,0
9076,1980,PhD,Married,30732,1,44,4,4,1,4,8,2
7079,1962,Graduation,Divorced,63887,0,38,5,9,6,12,6,1
4653,1978,Graduation,Together,42011,1,46,4,3,1,4,8,2
7375,1976,Graduation,Together,51369,0,84,2,8,2,4,8,1
709,1952,Graduation,Divorced,51537,0,27,3,2,2,11,8,1
460,1972,PhD,Married,79930,0,72,1,3,5,8,2,0
3726,1986,PhD,Together,34320,1,66,1,1,0,2,8,2
6798,1966,Graduation,Single,37070,1,30,9,5,1,8,7,1
5341,1962,2n Cycle,Divorced,81975,0,2,1,6,3,4,7,1
1606,1971,Graduation,Together,38590,1,65,1,1,0,2,8,2
9617,1951,Graduation,Single,15033,0,37,1,1,0,3,3,2
3233,1965,PhD,Married,62745,0,89,3,7,8,11,5,0
89,1975,2n Cycle,Married,22212,1,49,2,2,0,4,6,2
2936,1982,Master,Together,23661,1,46,1,1,0,3,7,2
9449,1958,PhD,Single,79761,0,32,1,5,2,11,3,0
7297,1973,Graduation,Single,7500,1,54,4,3,1,3,7,2
11004,1893,2n Cycle,Single,60182,0,23,1,1,0,2,4,2
313,1968,Graduation,Widow,73455,0,98,1,6,5,10,3,0
9940,1958,Graduation,Together,64961,0,97,2,6,4,4,3,0
10735,1971,Graduation,Single,22804,1,75,1,2,0,2,9,2
9529,1990,Graduation,Married,73687,0,8,1,3,9,9,2,0
6439,1958,Graduation,Married,61074,0,37,7,11,5,8,7,1
7411,1964,PhD,Married,31686,1,31,2,1,0,3,6,2
2176,1972,Graduation,Married,80134,1,40,2,5,3,6,6,0
9265,1953,Graduation,Married,75027,0,74,2,9,4,6,5,1
8867,1988,PhD,Married,67546,0,90,1,4,10,5,3,0
8932,1969,Master,Together,65176,0,57,4,9,6,6,6,1
10236,1975,Master,Single,31160,1,59,2,2,0,3,8,2
6340,1985,Graduation,Single,29938,1,52,2,1,0,3,6,2
10089,1974,Graduation,Divorced,102692,0,5,1,6,9,13,2,0
2227,1958,2n Cycle,Together,26490,0,92,2,3,1,5,6,2
10992,1967,Graduation,Together,75702,1,77,5,4,6,11,8,1
5304,1974,PhD,Single,30899,1,35,2,1,0,3,6,2
309,1961,PhD,Together,63342,0,48,3,8,3,5,6,1
3406,1964,Graduation,Single,45989,0,97,4,3,2,7,3,1
2661,1964,Graduation,Single,18701,1,95,4,2,0,4,5,2
3153,1957,PhD,Single,40737,2,24,1,1,0,2,8,2
10264,1979,Graduation,Divorced,15287,1,60,2,1,1,2,7,2
1184,1968,PhD,Divorced,69674,0,46,3,10,2,10,5,1
4200,1970,Master,Married,44159,1,85,4,4,1,6,5,1
9396,1978,PhD,Married,37717,1,31,1,1,0,2,9,2
2387,1952,Master,Together,43776,1,9,6,5,2,4,8,1
6690,1966,Master,Married,38179,1,30,4,3,1,3,7,2
1225,1963,Graduation,Married,80124,0,47,1,3,7,8,1,0
9703,1970,PhD,Married,38097,1,70,4,3,2,2,7,2
291,1970,Graduation,Married,72940,0,13,1,3,3,6,1,0
4557,1970,Graduation,Together,22070,1,11,2,2,2,2,6,2
2379,1953,Graduation,Single,69267,0,31,2,3,4,5,7,2
5726,1983,Master,Single,31788,1,15,3,3,0,4,5,2
3066,1975,PhD,Together,61905,0,2,2,4,2,4,5,2
6336,1960,Graduation,Married,29315,1,55,4,2,0,4,6,2
10967,1963,Graduation,Divorced,33378,1,38,3,2,0,4,7,2
2304,1963,PhD,Together,66313,0,86,2,6,3,12,4,0
3445,1956,Graduation,Single,60714,0,56,2,7,4,10,5,0
7828,1981,Master,Together,77882,0,29,1,3,3,5,1,0
3762,1986,PhD,Single,69867,0,30,1,3,5,8,1,0
4391,1968,Master,Divorced,63841,0,64,1,9,3,9,6,1
4669,1981,Basic,Married,24480,1,46,3,3,0,4,7,2
10144,1976,Graduation,Together,51369,0,84,2,8,2,4,8,1
8652,1946,Graduation,Together,37760,0,20,2,4,1,6,7,2
1672,1974,PhD,Together,65640,0,74,1,5,1,8,2,0
8962,1975,Master,Married,44319,1,18,2,2,0,3,5,2
9974,1974,Graduation,Married,30631,1,75,1,3,1,2,7,2
10983,1952,Graduation,Together,75278,0,17,1,6,3,13,3,0
8148,1956,Master,Together,50898,1,88,13,6,2,12,5,1
10102,1966,Graduation,Widow,79946,0,19,1,5,11,5,3,0
4697,1949,Master,Divorced,35416,0,62,3,7,1,5,8,1
9262,1984,2n Cycle,Together,32414,0,11,1,1,0,3,7,2
7254,1969,Graduation,Together,38361,1,74,3,3,1,3,7,2
4543,1980,Graduation,Married,82497,0,32,1,2,7,9,4,0
4927,1971,Graduation,Together,16626,2,76,3,3,0,3,9,2
10451,1965,Graduation,Together,29672,1,6,1,0,0,3,6,2
2926,1952,Master,Together,55951,0,62,3,3,6,11,8,1
2874,1988,2n Cycle,Divorced,35388,1,20,1,1,0,3,7,2
9738,1986,Master,Together,42386,1,43,1,3,0,3,8,2
7119,1982,Graduation,Single,68627,0,45,1,2,3,6,1,0
3924,1965,PhD,Divorced,57912,0,34,5,8,3,12,5,1
5827,1958,Graduation,Divorced,35246,1,53,4,3,1,3,5,2
5596,1956,2n Cycle,Together,58821,0,44,1,9,2,9,6,1
10812,1978,PhD,Married,46377,1,89,1,2,1,3,4,2
1717,1988,Graduation,Single,39747,1,43,3,5,1,4,8,2
9491,1984,Graduation,Together,23976,1,68,3,3,1,3,7,2
9274,1961,Master,Married,80950,0,44,1,6,7,9,2,0
6609,1966,Graduation,Widow,27038,0,64,1,3,0,3,9,2
6963,1947,Graduation,Single,77457,0,85,1,2,5,10,1,0
4440,1964,Master,Married,64100,0,93,1,8,3,6,7,1
1379,1992,Master,Together,42670,0,12,1,4,2,4,4,2
10032,1976,Graduation,Divorced,12571,1,86,4,3,1,3,6,2
2826,1967,Graduation,Married,22574,2,28,2,2,0,3,7,2
6320,1976,Master,Single,70893,0,42,1,6,6,10,3,0
3050,1966,Graduation,Married,54198,1,13,6,3,1,6,4,1
231,1956,Master,Together,28839,1,86,2,2,0,3,5,2
2392,1972,Graduation,Married,40321,1,59,2,3,0,3,7,2
9478,1985,Graduation,Single,66503,1,30,2,4,3,6,3,0
113,1951,Graduation,Married,30833,1,33,2,1,0,3,5,2
1802,1971,Graduation,Married,64795,0,23,3,3,3,12,2,0
520,1974,Graduation,Married,34421,1,81,1,1,0,2,7,2
8275,1965,PhD,Divorced,47025,1,6,1,1,0,2,7,2
9750,1961,PhD,Divorced,64325,0,41,5,10,3,5,7,1
2607,1953,Graduation,Single,40464,0,78,6,8,2,8,8,1
7214,1957,Graduation,Married,62187,0,49,1,4,8,5,3,0
5835,1976,PhD,Divorced,14849,1,39,3,2,0,4,8,2
3896,1984,Graduation,Married,27255,1,3,1,1,0,3,7,2
10350,1950,PhD,Married,54432,2,37,1,1,0,3,4,2
7786,1986,PhD,Single,29999,1,22,4,3,1,4,8,2
2861,1983,Graduation,Single,24072,1,79,1,1,0,2,8,2
663,1989,PhD,Single,33996,0,46,1,1,1,3,4,2
10675,1956,PhD,Married,66334,0,82,2,9,3,5,5,1
2521,1971,Master,Married,35178,1,10,1,1,1,2,7,2
9592,1983,Graduation,Together,22010,1,51,2,2,0,3,8,2
10151,1960,Graduation,Divorced,62204,0,38,1,4,5,12,3,0
7381,1968,Graduation,Divorced,75693,0,10,1,11,4,6,4,0
4099,1972,Graduation,Married,30675,1,14,1,1,0,3,8,2
9560,1965,Graduation,Together,83003,0,18,1,7,6,8,3,0
1150,1899,PhD,Together,83532,0,36,1,4,6,4,1,0
10172,1988,Graduation,Single,68655,0,95,1,4,5,11,3,0
11191,1986,Graduation,Divorced,41411,0,11,1,2,1,4,6,2
9707,1969,PhD,Married,55212,0,65,3,4,2,11,8,1
6245,1950,PhD,Together,59292,0,71,2,3,5,8,3,0
8234,1973,Basic,Together,27190,1,13,1,1,0,2,8,2
1411,1952,Graduation,Divorced,82623,0,58,1,2,9,4,1,0
8553,1965,Graduation,Married,44300,1,65,2,1,0,3,6,2
1826,1970,Graduation,Divorced,84835,0,0,1,4,4,6,1,0
8842,1971,Graduation,Widow,30372,1,33,3,2,0,3,7,2
11030,1976,Master,Married,33181,1,90,1,1,0,2,6,2
2579,1957,Graduation,Married,71113,0,95,4,6,7,9,4,0
175,1986,Graduation,Married,71952,1,93,2,8,4,8,4,0
9185,1966,PhD,Single,69759,0,38,3,4,6,5,3,0
11056,1974,Graduation,Married,72099,0,18,1,3,4,10,1,0
9365,1976,PhD,Single,60000,0,57,5,11,3,5,6,1
6201,1978,Graduation,Single,38643,1,45,2,2,0,3,7,2
2061,1955,Graduation,Married,50737,0,61,1,2,0,4,6,2
6184,1969,PhD,Married,68462,0,6,1,3,3,8,1,0
6142,1943,Master,Married,65073,0,65,1,5,3,5,2,0
4107,1948,PhD,Together,46681,0,52,2,4,6,4,5,0
7274,1957,Graduation,Married,78618,0,87,1,4,7,10,2,0
9336,1969,PhD,Widow,62187,0,38,3,6,2,10,4,1
2958,1978,Graduation,Married,28442,2,53,3,2,1,4,4,2
933,1978,PhD,Married,37717,1,31,1,1,0,2,9,2
5837,1967,Graduation,Married,51479,1,67,7,6,3,6,7,1
10704,1969,Graduation,Single,54803,0,65,2,6,2,9,4,0
5125,1960,Graduation,Married,79530,0,64,1,4,10,11,2,0
4432,1976,Graduation,Divorced,31615,1,82,2,2,0,3,7,2
5955,1962,Graduation,Together,72025,0,27,1,4,3,8,3,0
2928,1975,PhD,Single,52614,0,63,2,2,4,8,8,2
5680,1984,2n Cycle,Married,35684,1,66,1,1,0,3,6,2
10313,1975,Graduation,Married,48178,1,69,6,5,1,4,8,1
2557,1970,Master,Single,29548,1,52,1,1,1,2,4,2
1245,1966,Graduation,Single,63810,0,45,4,4,3,12,8,1
1519,1972,PhD,Single,38578,1,2,3,3,0,3,8,2
10703,1975,Master,Single,46098,1,86,4,3,2,2,8,2
1726,1970,Graduation,Single,22585,0,23,1,1,1,2,9,2
4459,1989,Graduation,Single,30279,1,13,1,1,0,3,8,2
1729,1961,PhD,Together,66426,0,14,2,3,5,10,6,0
1517,1969,Graduation,Single,30822,1,92,1,1,0,3,7,2
2098,1969,PhD,Married,33581,2,38,1,1,0,2,8,2
9543,1985,Graduation,Married,19986,1,74,1,0,0,3,7,2
6878,1954,Graduation,Widow,27421,0,14,3,4,1,6,7,2
3310,1973,2n Cycle,Married,35688,2,94,7,4,1,4,8,1
2724,1981,Master,Single,36143,1,33,1,0,1,2,3,2
948,1971,Graduation,Single,10245,1,32,3,1,2,2,5,2
6720,1968,Master,Together,43795,0,11,3,7,3,4,7,1
6202,1960,Graduation,Together,63381,0,78,4,4,5,13,2,0
2066,1949,Graduation,Together,38823,0,56,1,2,1,3,6,2
9799,1968,PhD,Divorced,83664,1,57,3,2,2,12,5,0
8318,1979,Graduation,Together,90300,0,7,0,5,6,8,1,0
5642,1979,Master,Together,62499,1,0,2,3,1,6,4,2
2669,1993,Graduation,Single,74293,0,66,1,5,4,6,2,0
455,1946,PhD,Married,51012,0,86,1,4,1,4,6,2
7683,1968,Master,Married,70777,0,80,3,5,3,12,3,0
3428,1991,PhD,Together,68682,0,56,1,4,9,10,2,0
7414,1971,Graduation,Married,43824,1,18,4,3,1,4,8,2
6354,1984,Graduation,Together,15345,1,51,2,1,1,2,8,2
798,1987,Graduation,Single,23442,1,71,1,1,0,3,7,2
8213,1980,2n Cycle,Together,14515,1,71,4,2,2,3,7,2
2488,1956,2n Cycle,Divorced,31395,1,80,4,2,1,3,6,2
9999,1965,Graduation,Together,75276,0,2,1,9,4,9,5,0
7617,1974,Graduation,Single,42373,1,83,5,2,1,5,5,2
615,1960,Graduation,Together,30507,0,29,1,5,1,4,7,2
2552,1955,PhD,Single,55521,1,11,9,6,3,6,7,1
194,1965,Graduation,Married,48006,1,55,1,1,0,3,6,2
3645,1972,PhD,Single,27213,1,19,3,2,0,4,8,2
8890,1971,PhD,Divorced,65808,1,1,3,5,1,5,6,1
5049,1974,PhD,Together,30351,1,19,1,3,0,2,9,2
9973,1963,Graduation,Married,50437,0,28,3,7,1,8,7,1
7301,1982,2n Cycle,Single,23616,1,76,2,3,0,3,8,2
10882,1976,Graduation,Married,53858,0,50,4,4,3,6,4,1
7030,1955,PhD,Married,66465,0,1,3,11,9,12,6,1
7422,1987,Graduation,Single,46923,1,90,3,5,1,7,7,1
3523,1962,Graduation,Together,75072,0,83,2,5,4,8,3,0
7106,1943,PhD,Married,75865,0,73,1,3,5,10,1,0
6504,1975,2n Cycle,Together,19789,1,24,3,2,1,3,5,2
5067,1994,Graduation,Together,80134,0,11,1,2,7,11,5,0
4216,1981,Graduation,Single,91065,0,33,1,7,9,9,3,0
8581,1971,Master,Married,49505,1,4,9,10,2,8,8,1
5929,1973,PhD,Married,37401,1,14,2,2,0,3,7,2
3129,1983,Graduation,Married,30096,1,30,1,2,0,3,6,2
6528,1982,Master,Together,18492,1,75,1,1,0,2,8,2
1361,1974,Master,Married,82584,0,26,1,3,4,8,1,0
6932,1941,PhD,Married,93027,0,77,0,7,10,5,2,0
7284,1953,Graduation,Married,48686,1,8,1,1,0,2,8,2
1340,1986,Graduation,Married,92910,0,42,1,6,7,13,1,0
8746,1989,Graduation,Married,75433,1,28,2,2,5,10,6,0
5987,1989,2n Cycle,Together,10404,1,52,2,1,0,4,5,2
3767,1968,Graduation,Married,61314,0,1,2,5,5,12,3,0
3725,1961,PhD,Single,84865,0,1,1,2,4,9,4,0
4324,1989,Graduation,Married,42387,1,42,5,8,1,7,8,1
238,1967,2n Cycle,Together,67309,1,76,15,9,6,9,7,1
6694,1964,Graduation,Married,75236,0,27,1,8,3,13,4,0
498,1970,Graduation,Single,30015,1,28,2,1,0,4,5,2
