,Transaction_ID,Configuration,Screen_Size,Battery_Life,RAM,Processor_Speeds,Integrated_Wireless,HD_Size,Bundled_Applications,Retail_Price
74,220740,194,15,5,2,1.5,Yes,40,No,290
75,240795,851,17,6,4,2.4,Yes,80,Yes,810
76,77858,371,15,6,2,2.4,Yes,80,Yes,600
77,239691,105,15,4,4,1.5,No,40,Yes,500
78,179814,151,15,5,1,1.5,Yes,300,Yes,329
79,106187,115,15,4,4,2,Yes,80,Yes,585
80,264796,116,15,4,4,2,Yes,80,No,
81,126852,370,15,6,2,2.4,Yes,40,No,500
82,11227,299,15,6,1,1.5,No,80,Yes,485
83,34985,8,15,4,1,1.5,Yes,300,No,420
84,17560,217,15,5,2,2,No,40,Yes,425
85,34978,344,15,6,2,1.5,Yes,300,No,550
86,286789,365,15,6,2,2,No,120,Yes,475
87,22799,165,15,5,1,2,Yes,120,Yes,465
88,221552,576,17,4,4,2.4,No,300,No,720
89,11705,209,15,5,2,2,Yes,40,Yes,455
90,30763,223,15,5,2,2,No,300,Yes,535
91,153750,491,17,4,2,1.5,No,80,Yes,510
92,127989,408,15,6,4,2,Yes,300,No,715
93,5459,173,15,5,1,2,No,120,Yes,455
94,160206,204,15,5,2,1.5,No,80,No,231
95,198719,612,17,5,1,2.4,Yes,80,No,510
96,103647,849,17,6,4,2.4,Yes,40,Yes,770
97,77046,495,17,4,2,1.5,No,300,Yes,610
98,174917,274,15,5,4,2.4,Yes,40,No,540
99,158714,737,17,6,1,2,Yes,40,Yes,406
100,168738,364,15,6,2,2,No,80,No,435
101,67728,268,15,5,4,2,No,80,No,535
102,231752,326,15,6,1,2.4,Yes,120,No,505
103,52627,89,15,4,2,2.4,No,40,Yes,450
104,120205,620,17,5,1,2.4,No,80,No,500
105,109086,612,17,5,1,2.4,Yes,80,No,520
106,25953,353,15,6,2,2,Yes,40,Yes,515
107,42028,425,15,6,4,2.4,No,40,Yes,650
108,210134,484,17,4,2,1.5,Yes,80,No,470
109,188349,30,15,4,1,2,No,120,No,340
110,213415,834,17,6,4,2,Yes,40,No,695
111,27083,6,15,4,1,1.5,Yes,120,No,365
112,11428,58,15,4,2,1.5,No,40,No,340
113,112099,257,15,5,4,2,Yes,40,Yes,565
114,175580,623,17,5,1,2.4,No,300,Yes,625
115,244843,31,15,4,1,2,No,300,Yes,445
116,257643,568,17,4,4,2.4,Yes,300,No,740
117,90523,227,15,5,2,2.4,Yes,80,Yes,520
118,249436,732,17,6,1,1.5,No,80,No,510
119,275099,724,17,6,1,1.5,Yes,80,No,530
120,45850,105,15,4,4,1.5,No,40,Yes,350
121,51196,19,15,4,1,2,Yes,80,Yes,410
122,184481,430,15,6,4,2.4,No,120,No,660
123,218719,171,15,5,1,2,No,80,Yes,385
124,211198,745,17,6,1,2,No,40,Yes,555
125,189913,236,15,5,2,2.4,No,80,No,420
126,146984,500,17,4,2,2,Yes,80,No,505
127,4386,291,15,6,1,1.5,Yes,80,Yes,510
128,67538,479,17,4,1,2.4,No,300,Yes,620
129,199343,456,17,4,1,2,Yes,300,No,545
130,71490,27,15,4,1,2,No,80,Yes,390
131,157807,90,15,4,2,2.4,No,40,No,259
132,107258,67,15,4,2,2,Yes,80,Yes,415
133,270829,50,15,4,2,1.5,Yes,40,No,260
134,242195,613,17,5,1,2.4,Yes,120,Yes,575
135,24959,173,15,5,1,2,No,120,Yes,440
136,216703,160,15,5,1,1.5,No,300,No,395
137,90325,571,17,4,4,2.4,No,80,Yes,690
138,197401,485,17,4,2,1.5,Yes,120,Yes,540
139,42708,292,15,6,1,1.5,Yes,80,No,435
140,223673,170,15,5,1,2,No,40,No,295
141,71977,278,15,5,4,2.4,Yes,120,No,600
142,92471,668,17,5,2,2.4,No,80,No,550
143,113753,442,17,4,1,1.5,No,40,No,390
144,223461,679,17,5,4,1.5,Yes,300,Yes,760
145,141317,360,15,6,2,2,Yes,300,No,545
146,293423,856,17,6,4,2.4,Yes,300,No,840
147,117211,321,15,6,1,2.4,Yes,40,Yes,510
148,168112,646,17,5,2,2,Yes,120,No,545
149,222351,63,15,4,2,1.5,No,300,Yes,420
150,223503,332,15,6,1,2.4,No,80,No,465
151,90786,623,17,5,1,2.4,No,300,Yes,635
152,3975,343,15,6,2,1.5,Yes,300,Yes,640
153,270328,600,17,5,1,2,Yes,300,No,
154,35155,163,15,5,1,2,Yes,80,Yes,435
155,35529,215,15,5,2,2,Yes,300,Yes,545
156,197297,852,17,6,4,2.4,Yes,80,No,760
157,152941,791,17,6,2,2,Yes,300,Yes,735
158,277502,331,15,6,1,2.4,No,80,Yes,357
159,225958,573,17,4,4,2.4,No,120,Yes,710
160,21381,63,15,4,2,1.5,No,300,Yes,500
161,25152,355,15,6,2,2,Yes,80,Yes,555
162,169910,124,15,4,4,2,No,80,No,
163,62410,104,15,4,4,1.5,Yes,300,No,413
164,16374,319,15,6,1,2,No,300,Yes,585
165,113002,737,17,6,1,2,Yes,40,Yes,585
166,263990,428,15,6,4,2.4,No,80,No,640
167,96858,510,17,4,2,2,No,120,No,525
168,30231,294,15,6,1,1.5,Yes,120,No,465
169,128331,362,15,6,2,2,No,40,No,405
170,37979,3,15,4,1,1.5,Yes,80,Yes,390
171,15009,364,15,6,2,2,No,80,No,505
172,80611,96,15,4,2,2.4,No,300,No,510
173,276606,705,17,5,4,2.4,Yes,40,Yes,690
174,289189,270,15,5,4,2,No,120,No,555
175,274481,183,15,5,1,2.4,Yes,300,Yes,530
176,237597,740,17,6,1,2,Yes,80,No,560
177,67990,385,15,6,4,1.5,Yes,40,Yes,434
178,291293,771,17,6,2,1.5,Yes,80,Yes,600
179,212401,498,17,4,2,2,Yes,40,No,455
180,2660,69,15,4,2,2,Yes,120,Yes,505
181,5118,343,15,6,2,1.5,Yes,300,Yes,640
182,274952,320,15,6,1,2,No,300,No,490
183,171243,13,15,4,1,1.5,No,120,Yes,259
184,131843,309,15,6,1,2,Yes,120,Yes,520
185,280227,389,15,6,4,1.5,Yes,120,Yes,476
186,98157,23,15,4,1,2,Yes,300,Yes,485
187,213959,627,17,5,2,1.5,Yes,80,Yes,540
188,48718,167,15,5,1,2,Yes,300,Yes,510
189,97539,328,15,6,1,2.4,Yes,300,No,585
190,107085,443,17,4,1,1.5,No,80,Yes,480
191,47317,682,17,5,4,1.5,No,40,No,570
192,291964,160,15,5,1,1.5,No,300,No,385
193,86891,823,17,6,4,1.5,Yes,300,Yes,840
194,190049,633,17,5,2,1.5,No,40,Yes,480
195,256327,376,15,6,2,2.4,Yes,300,No,406
196,142073,569,17,4,4,2.4,No,40,Yes,650
197,140050,39,15,4,1,2.4,Yes,300,Yes,530
198,88240,379,15,6,2,2.4,No,80,Yes,580
199,93035,141,15,4,4,2.4,No,120,Yes,610
200,66973,133,15,4,4,2.4,Yes,120,Yes,441
201,210391,205,15,5,2,1.5,No,120,Yes,390
202,8869,149,15,5,1,1.5,Yes,120,Yes,445
203,259024,479,17,4,1,2.4,No,300,Yes,590
204,270235,301,15,6,1,1.5,No,120,Yes,
205,159269,790,17,6,2,2,Yes,120,No,625
206,167242,279,15,5,4,2.4,Yes,300,Yes,710
207,94553,379,15,6,2,2.4,No,80,Yes,580
208,40016,798,17,6,2,2,No,120,No,
209,11658,292,15,6,1,1.5,Yes,80,No,455
210,108148,552,17,4,4,2,Yes,300,No,715
211,207903,51,15,4,2,1.5,Yes,80,Yes,370
212,296841,161,15,5,1,2,Yes,40,Yes,360
213,265610,45,15,4,1,2.4,No,120,Yes,301
214,141928,31,15,4,1,2,No,300,Yes,460
215,217462,521,17,4,2,2.4,No,40,Yes,500
216,168947,277,15,5,4,2.4,Yes,120,Yes,455
217,100066,125,15,4,4,2,No,120,Yes,585
218,22911,341,15,6,2,1.5,Yes,120,Yes,560
219,286890,328,15,6,1,2.4,Yes,300,No,392
220,112927,440,17,4,1,1.5,Yes,300,No,530
221,84188,86,15,4,2,2.4,Yes,120,No,470
222,78608,55,15,4,2,1.5,Yes,300,Yes,480
223,251655,665,17,5,2,2.4,No,40,Yes,357
224,66668,79,15,4,2,2,No,300,Yes,495
225,27528,308,15,6,1,2,Yes,80,No,470
226,150245,198,15,5,2,1.5,Yes,120,No,259
227,111728,182,15,5,1,2.4,Yes,120,No,440
228,193154,301,15,6,1,1.5,No,120,Yes,465
229,102120,85,15,4,2,2.4,Yes,120,Yes,520
230,105874,337,15,6,2,1.5,Yes,40,Yes,450
231,92931,730,17,6,1,1.5,No,40,No,495
232,195767,541,17,4,4,1.5,No,120,Yes,660
233,180931,392,15,6,4,1.5,Yes,300,No,690
234,194654,545,17,4,4,2,Yes,40,Yes,645
235,26619,291,15,6,1,1.5,Yes,80,Yes,495
236,55405,243,15,5,4,1.5,Yes,80,Yes,580
237,83418,589,17,5,1,1.5,No,120,Yes,525
238,235096,656,17,5,2,2,No,300,No,565
239,175328,505,17,4,2,2,No,40,Yes,495
240,166866,24,15,4,1,2,Yes,300,No,425
241,582,346,15,6,2,1.5,No,40,No,450
242,244943,830,17,6,4,1.5,No,120,No,710
243,241845,582,17,5,1,1.5,Yes,120,No,475
244,290605,224,15,5,2,2,No,300,No,405
245,176508,470,17,4,1,2.4,Yes,120,No,515
246,263895,53,15,4,2,1.5,Yes,120,Yes,259
247,101231,193,15,5,2,1.5,Yes,40,Yes,380
248,199148,275,15,5,4,2.4,Yes,80,Yes,630
249,129251,279,15,5,4,2.4,Yes,300,Yes,710
250,282400,75,15,4,2,2,No,80,Yes,355
251,249498,309,15,6,1,2,Yes,120,Yes,505
252,270283,56,15,4,2,1.5,Yes,300,No,380
253,218060,355,15,6,2,2,Yes,80,Yes,485
254,72998,37,15,4,1,2.4,Yes,120,Yes,475
255,231636,435,17,4,1,1.5,Yes,80,Yes,485
256,201776,417,15,6,4,2.4,Yes,40,Yes,670
257,230776,629,17,5,2,1.5,Yes,120,Yes,550
258,186737,251,15,5,4,1.5,No,80,Yes,560
259,251441,483,17,4,2,1.5,Yes,80,Yes,350
260,143373,231,15,5,2,2.4,Yes,300,Yes,580
261,31353,210,15,5,2,2,Yes,40,No,375
262,65197,596,17,5,1,2,Yes,80,No,505
263,68411,149,15,5,1,1.5,Yes,120,Yes,
264,54542,183,15,5,1,2.4,Yes,300,Yes,560
265,130731,47,15,4,1,2.4,No,300,Yes,510
266,100248,831,17,6,4,1.5,No,300,Yes,820
267,134586,228,15,5,2,2.4,Yes,80,No,460
268,141499,739,17,6,1,2,Yes,80,Yes,620
269,162312,813,17,6,2,2.4,No,120,Yes,680
270,204641,78,15,4,2,2,No,120,No,345
271,35862,337,15,6,2,1.5,Yes,40,Yes,480
272,79764,106,15,4,4,1.5,No,40,No,450
273,34809,318,15,6,1,2,No,120,No,465
274,289622,110,15,4,4,1.5,No,120,No,510
275,80045,459,17,4,1,2,No,80,Yes,510
276,101636,593,17,5,1,2,Yes,40,Yes,510
277,190816,637,17,5,2,1.5,No,120,Yes,540
278,257326,652,17,5,2,2,No,80,No,475
279,182204,35,15,4,1,2.4,Yes,80,Yes,440
280,297021,85,15,4,2,2.4,Yes,120,Yes,470
281,75250,202,15,5,2,1.5,No,40,No,310
282,147435,830,17,6,4,1.5,No,120,No,710
283,30359,221,15,5,2,2,No,120,Yes,475
284,21548,173,15,5,1,2,No,120,Yes,
285,74013,273,15,5,4,2.4,Yes,40,Yes,590
286,81091,521,17,4,2,2.4,No,40,Yes,540
287,102701,491,17,4,2,1.5,No,80,Yes,530
288,233358,151,15,5,1,1.5,Yes,300,Yes,460
289,236516,197,15,5,2,1.5,Yes,120,Yes,400
290,134265,31,15,4,1,2,No,300,Yes,460
291,60295,116,15,4,4,2,Yes,80,No,535
292,221278,361,15,6,2,2,No,40,Yes,425
293,59034,513,17,4,2,2.4,Yes,40,Yes,399
294,252858,407,15,6,4,2,Yes,300,Yes,
295,46285,271,15,5,4,2,No,300,Yes,665
296,11393,168,15,5,1,2,Yes,300,No,480
297,181744,198,15,5,2,1.5,Yes,120,No,370
298,253110,433,17,4,1,1.5,Yes,40,Yes,440
299,341,14,15,4,1,1.5,No,120,No,360
300,69591,265,15,5,4,2,No,40,Yes,
301,243680,617,17,5,1,2.4,No,40,Yes,495
302,215213,251,15,5,4,1.5,No,80,Yes,560
303,167614,319,15,6,1,2,No,300,Yes,
304,251870,316,15,6,1,2,No,80,No,287
305,156106,73,15,4,2,2,No,40,Yes,345
306,140678,176,15,5,1,2,No,300,No,430
307,163058,349,15,6,2,1.5,No,120,Yes,336
308,24384,208,15,5,2,1.5,No,300,No,460
309,293241,165,15,5,1,2,Yes,120,Yes,294
310,115104,484,17,4,2,1.5,Yes,80,No,490
311,57198,353,15,6,2,2,Yes,40,Yes,495
312,60789,203,15,5,2,1.5,No,80,Yes,287
313,131808,854,17,6,4,2.4,Yes,120,No,780
314,114538,499,17,4,2,2,Yes,80,Yes,565
315,135499,786,17,6,2,2,Yes,40,No,575
316,91898,662,17,5,2,2.4,Yes,120,No,590
317,149839,330,15,6,1,2.4,No,40,No,435
318,84560,139,15,4,4,2.4,No,80,Yes,590
319,272165,616,17,5,1,2.4,Yes,300,No,580
320,149965,544,17,4,4,1.5,No,300,No,670
321,238917,474,17,4,1,2.4,No,40,No,425
322,61225,97,15,4,4,1.5,Yes,40,Yes,520
323,46851,431,15,6,4,2.4,No,300,Yes,770
324,152886,316,15,6,1,2,No,80,No,425
325,192929,726,17,6,1,1.5,Yes,120,No,560
326,140154,454,17,4,1,2,Yes,120,No,495
327,101325,623,17,5,1,2.4,No,300,Yes,635
328,264799,69,15,4,2,2,Yes,120,Yes,395
329,137994,214,15,5,2,2,Yes,120,No,405
330,291366,416,15,6,4,2,No,300,No,695
331,124724,669,17,5,2,2.4,No,120,Yes,610
332,19369,303,15,6,1,1.5,No,300,Yes,392
333,272421,48,15,4,1,2.4,No,300,No,308
334,108459,732,17,6,1,1.5,No,80,No,530
335,107407,489,17,4,2,1.5,No,40,Yes,480
336,199384,758,17,6,1,2.4,Yes,120,No,610
337,284476,437,17,4,1,1.5,Yes,120,Yes,350
338,3661,198,15,5,2,1.5,Yes,120,No,450
339,71975,315,15,6,1,2,No,80,Yes,485
340,232328,253,15,5,4,1.5,No,120,Yes,580
341,161684,534,17,4,4,1.5,Yes,120,No,630
342,21989,352,15,6,2,1.5,No,300,No,550
343,36882,360,15,6,2,2,Yes,300,No,575
344,120926,827,17,6,4,1.5,No,80,Yes,740
345,268584,71,15,4,2,2,Yes,300,Yes,455
346,18954,150,15,5,1,1.5,Yes,120,No,273
347,283222,171,15,5,1,2,No,80,Yes,266
348,25367,338,15,6,2,1.5,Yes,40,No,440
349,189234,150,15,5,1,1.5,Yes,120,No,355
350,208347,280,15,5,4,2.4,Yes,300,No,660
351,48371,275,15,5,4,2.4,Yes,80,Yes,441
352,286083,180,15,5,1,2.4,Yes,80,No,400
353,273795,666,17,5,2,2.4,No,40,No,322
354,13794,311,15,6,1,2,Yes,300,Yes,610
355,78966,856,17,6,4,2.4,Yes,300,No,840
356,233843,476,17,4,1,2.4,No,80,No,465
357,139571,176,15,5,1,2,No,300,No,430
358,16878,61,15,4,2,1.5,No,120,Yes,440
359,47736,213,15,5,2,2,Yes,120,Yes,475
360,243440,551,17,4,4,2,Yes,300,Yes,765
361,119811,840,17,6,4,2,Yes,300,No,815
362,168031,497,17,4,2,2,Yes,40,Yes,515
363,267284,581,17,5,1,1.5,Yes,120,Yes,364
364,237288,510,17,4,2,2,No,120,No,485
365,221847,97,15,4,4,1.5,Yes,40,Yes,520
366,217244,108,15,4,4,1.5,No,80,No,490
367,133287,564,17,4,4,2.4,Yes,80,No,660
368,264337,314,15,6,1,2,No,40,No,370
369,77199,455,17,4,1,2,Yes,300,Yes,610
370,132487,769,17,6,2,1.5,Yes,40,Yes,600
371,246632,500,17,4,2,2,Yes,80,No,485
372,167392,64,15,4,2,1.5,No,300,No,390
373,294907,362,15,6,2,2,No,40,No,365
374,179696,446,17,4,1,1.5,No,120,No,445
375,209357,464,17,4,1,2,No,300,No,525
376,217338,134,15,4,4,2.4,Yes,120,No,580
377,110987,152,15,5,1,1.5,Yes,300,No,425
378,70678,325,15,6,1,2.4,Yes,120,Yes,580
379,231294,53,15,4,2,1.5,Yes,120,Yes,380
380,85193,861,17,6,4,2.4,No,120,Yes,810
381,223681,248,15,5,4,1.5,Yes,300,No,610
382,279096,577,17,5,1,1.5,Yes,40,Yes,460
383,287940,15,15,4,1,1.5,No,300,Yes,415
384,3834,161,15,5,1,2,Yes,40,Yes,415
385,215252,604,17,5,1,2,No,80,No,465
386,198316,214,15,5,2,2,Yes,120,No,385
387,18813,80,15,4,2,2,No,300,No,
388,137862,529,17,4,4,1.5,Yes,40,Yes,620
389,10715,16,15,4,1,1.5,No,300,No,415
390,294582,137,15,4,4,2.4,No,40,Yes,385
391,70953,139,15,4,4,2.4,No,80,Yes,590
392,198920,463,17,4,1,2,No,300,Yes,575
393,278714,739,17,6,1,2,Yes,80,Yes,605
394,222521,463,17,4,1,2,No,300,Yes,570
395,173356,604,17,5,1,2,No,80,No,470
396,51980,89,15,4,2,2.4,No,40,Yes,315
397,48692,82,15,4,2,2.4,Yes,40,No,294
398,266939,682,17,5,4,1.5,No,40,No,570
399,110293,614,17,5,1,2.4,Yes,120,No,540
400,127850,631,17,5,2,1.5,Yes,300,Yes,640
401,183246,839,17,6,4,2,Yes,300,Yes,865
402,104873,653,17,5,2,2,No,120,Yes,585
403,6716,320,15,6,1,2,No,300,No,545
404,251062,54,15,4,2,1.5,Yes,120,No,320
405,266972,568,17,4,4,2.4,Yes,300,No,740
406,38933,356,15,6,2,2,Yes,80,No,495
407,80407,642,17,5,2,2,Yes,40,No,505
408,165216,370,15,6,2,2.4,Yes,40,No,490
409,112750,240,15,5,2,2.4,No,300,No,520
410,135821,484,17,4,2,1.5,Yes,80,No,490
411,275611,534,17,4,4,1.5,Yes,120,No,441
412,81376,77,15,4,2,2,No,120,Yes,425
413,197427,157,15,5,1,1.5,No,120,Yes,385
414,66493,435,17,4,1,1.5,Yes,80,Yes,510
415,214624,71,15,4,2,2,Yes,300,Yes,475
416,238548,597,17,5,1,2,Yes,120,Yes,550
417,108853,164,15,5,1,2,Yes,80,No,370
418,268012,7,15,4,1,1.5,Yes,300,Yes,435
419,73911,520,17,4,2,2.4,Yes,300,No,630
420,186221,859,17,6,4,2.4,No,80,Yes,790
421,198621,149,15,5,1,1.5,Yes,120,Yes,405
422,279992,306,15,6,1,2,Yes,40,No,390
423,285181,173,15,5,1,2,No,120,Yes,280
424,105899,772,17,6,2,1.5,Yes,80,No,590
425,191033,656,17,5,2,2,No,300,No,575
426,181308,463,17,4,1,2,No,300,Yes,580
427,264304,394,15,6,4,1.5,No,40,No,550
428,136208,274,15,5,4,2.4,Yes,40,No,540
429,122927,403,15,6,4,2,Yes,80,Yes,685
430,177856,304,15,6,1,1.5,No,300,No,336
431,63881,338,15,6,2,1.5,Yes,40,No,420
432,286979,442,17,4,1,1.5,No,40,No,370
433,39970,337,15,6,2,1.5,Yes,40,Yes,470
434,270766,597,17,5,1,2,Yes,120,Yes,545
435,201465,147,15,5,1,1.5,Yes,80,Yes,385
436,272079,666,17,5,2,2.4,No,40,No,460
437,98931,728,17,6,1,1.5,Yes,300,No,635
438,219370,236,15,5,2,2.4,No,80,No,410
439,61049,304,15,6,1,1.5,No,300,No,495
440,118024,662,17,5,2,2.4,Yes,120,No,580
441,207351,460,17,4,1,2,No,80,No,445
442,270728,448,17,4,1,1.5,No,300,No,343
443,166000,461,17,4,1,2,No,120,Yes,520
444,46397,560,17,4,4,2,No,300,No,
445,71543,77,15,4,2,2,No,120,Yes,435
446,152411,509,17,4,2,2,No,120,Yes,555
447,5809,152,15,5,1,1.5,Yes,300,No,460
448,255128,758,17,6,1,2.4,Yes,120,No,600
449,241572,488,17,4,2,1.5,Yes,300,No,540
450,172808,790,17,6,2,2,Yes,120,No,625
451,80789,514,17,4,2,2.4,Yes,40,No,510
452,558,61,15,4,2,1.5,No,120,Yes,460
453,78560,90,15,4,2,2.4,No,40,No,390
454,137702,349,15,6,2,1.5,No,120,Yes,490
455,137594,758,17,6,1,2.4,Yes,120,No,620
456,175594,260,15,5,4,2,Yes,80,No,555
457,101758,343,15,6,2,1.5,Yes,300,Yes,580
458,185740,377,15,6,2,2.4,No,40,Yes,510
459,204479,309,15,6,1,2,Yes,120,Yes,510
460,45148,236,15,5,2,2.4,No,80,No,322
461,166423,140,15,4,4,2.4,No,80,No,540
462,11878,168,15,5,1,2,Yes,300,No,480
463,70487,187,15,5,1,2.4,No,80,Yes,460
464,63952,437,17,4,1,1.5,Yes,120,Yes,530
465,57125,843,17,6,4,2,No,80,Yes,
466,273295,51,15,4,2,1.5,Yes,80,Yes,350
467,29585,219,15,5,2,2,No,80,Yes,455
468,138935,366,15,6,2,2,No,120,No,465
469,263778,82,15,4,2,2.4,Yes,40,No,360
470,90456,348,15,6,2,1.5,No,80,No,430
471,178426,566,17,4,4,2.4,Yes,120,No,680
472,40096,289,15,6,1,1.5,Yes,40,Yes,445
473,6886,200,15,5,2,1.5,Yes,300,No,510
474,100555,249,15,5,4,1.5,No,40,Yes,520
475,19230,146,15,5,1,1.5,Yes,40,No,231
476,194781,243,15,5,4,1.5,Yes,80,Yes,580
477,274276,213,15,5,2,2,Yes,120,Yes,415
478,62477,585,17,5,1,1.5,No,40,Yes,329
479,154268,239,15,5,2,2.4,No,300,Yes,392
480,176333,174,15,5,1,2,No,120,No,365
481,196646,678,17,5,4,1.5,Yes,120,No,650
482,263952,228,15,5,2,2.4,Yes,80,No,420
483,26614,175,15,5,1,2,No,300,Yes,500
484,110519,776,17,6,2,1.5,Yes,300,No,670
485,159272,175,15,5,1,2,No,300,Yes,475
486,36049,342,15,6,2,1.5,Yes,120,No,490
487,151509,220,15,5,2,2,No,80,No,355
488,35776,293,15,6,1,1.5,Yes,120,Yes,510
489,104949,590,17,5,1,1.5,No,120,No,470
490,178560,539,17,4,4,1.5,No,80,Yes,448
491,127921,61,15,4,2,1.5,No,120,Yes,390
492,247725,153,15,5,1,1.5,No,40,Yes,320
493,126190,713,17,5,4,2.4,No,40,Yes,670
494,273396,203,15,5,2,1.5,No,80,Yes,350
495,105659,381,15,6,2,2.4,No,120,Yes,590
496,31622,56,15,4,2,1.5,Yes,300,No,450
497,169766,720,17,5,4,2.4,No,300,No,518
498,72289,818,17,6,4,1.5,Yes,40,No,670
499,136447,232,15,5,2,2.4,Yes,300,No,540
500,296381,454,17,4,1,2,Yes,120,No,
501,46959,309,15,6,1,2,Yes,120,Yes,530
502,261428,361,15,6,2,2,No,40,Yes,415
503,122209,218,15,5,2,2,No,40,No,325
504,131365,433,17,4,1,1.5,Yes,40,Yes,460
505,73628,579,17,5,1,1.5,Yes,80,Yes,525
506,206420,161,15,5,1,2,Yes,40,Yes,370
507,25555,320,15,6,1,2,No,300,No,530
508,150658,53,15,4,2,1.5,Yes,120,Yes,280
509,65548,574,17,4,4,2.4,No,120,No,462
510,177429,232,15,5,2,2.4,Yes,300,No,371
511,223577,244,15,5,4,1.5,Yes,80,No,530
512,258177,634,17,5,2,1.5,No,40,No,410
513,147044,122,15,4,4,2,No,40,No,475
514,189742,769,17,6,2,1.5,Yes,40,Yes,580
515,89020,608,17,5,1,2,No,300,No,560
516,142772,422,15,6,4,2.4,Yes,120,No,680
517,144018,112,15,4,4,1.5,No,300,No,570
518,241924,455,17,4,1,2,Yes,300,Yes,590
519,267137,33,15,4,1,2.4,Yes,40,Yes,273
520,277198,199,15,5,2,1.5,Yes,300,Yes,450
521,159609,670,17,5,2,2.4,No,120,No,550
522,413,304,15,6,1,1.5,No,300,No,520
523,197039,617,17,5,1,2.4,No,40,Yes,500
524,34454,293,15,6,1,1.5,Yes,120,Yes,510
